url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/E3TF,Boeing E-3 Sentry, 1972, 4 Jet engines
https://asn.flightsafety.org/database/type/E6,Boeing E-6 Mercury, 1987, 4 Jet engines
https://asn.flightsafety.org/database/type/K35A,Boeing KC-135A Stratotanker, , 4 Jet engines
https://asn.flightsafety.org/database/type/K35E,Boeing KC-135E Stratotanker, , 4 Jet engines
https://asn.flightsafety.org/database/type/K35R,Boeing KC-135R Stratotanker, , 4 Jet engines
https://asn.flightsafety.org/database/type/P8,Boeing P-8 Poseidon, 2009, 2 Jet engines
https://asn.flightsafety.org/database/type/R135,Boeing RC-135, , 4 Jet engines
https://asn.flightsafety.org/database/type/s307,Boeing S.307 Stratoliner, 1938, 4 Piston engines
https://asn.flightsafety.org/database/type/CL30,Bombardier Challenger 300, 2001, 2 Jet engines
https://asn.flightsafety.org/database/type/CL35,Bombardier Challenger 350, 2013, 2 Jet engines
https://asn.flightsafety.org/database/type/_CRJ,Bombardier CRJ family, , 2 Jet engines
https://asn.flightsafety.org/database/type/CRJ7,Bombardier CRJ700, 1999, 2 Jet engines
https://asn.flightsafety.org/database/type/CRJ9,Bombardier CRJ900, 2001, 2 Jet engines
https://asn.flightsafety.org/database/type/GL5T,Bombardier Global 5000, 2003, 2 Jet engines
https://asn.flightsafety.org/database/type/GL7T,Bombardier Global 7500, 2016, 2 Jet engines
https://asn.flightsafety.org/database/type/GLEX,Bombardier Global Express, 1996, 2 Jet engines
https://asn.flightsafety.org/database/type/_GLEX,Bombardier Global Express (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/b730,Breguet 730, 1938, 4 Piston engines
https://asn.flightsafety.org/database/type/prvc,Breguet Br.763 Provence, 1949, 4 Piston engines
https://asn.flightsafety.org/database/type/brtn,Bristol 175 Britannia, 1952, 4 Turboprop engines
https://asn.flightsafety.org/database/type/B170,Bristol Freighter, 1945, 2 Piston engines
https://asn.flightsafety.org/database/type/_B146,Avro RJ / BAe-146, , 2 Jet engines
https://asn.flightsafety.org/database/type/ATP,British Aerospace ATP, 1986, 2 Turboprop engines
https://asn.flightsafety.org/database/type/H25C,British Aerospace BAe-125-1000, , 2 Jet engines
https://asn.flightsafety.org/database/type/B461,British Aerospace BAe-146-100, 1981, 4 Jet engines
https://asn.flightsafety.org/database/type/B462,British Aerospace BAe-146-200, 1982, 4 Jet engines
https://asn.flightsafety.org/database/type/B463,British Aerospace BAe-146-300, 1987, 4 Jet engines
https://asn.flightsafety.org/database/type/JS31,British Aerospace Jetstream 31, 1980, 2 Turboprop engines
https://asn.flightsafety.org/database/type/JS32,British Aerospace Jetstream 32, 1988, 2 Turboprop engines
https://asn.flightsafety.org/database/type/JS41,British Aerospace Jetstream 41, 1991, 2 Turboprop engines
https://asn.flightsafety.org/database/type/TRIS,Britten-Norman BN-2A Trislander, 1970, 3 Piston engines
https://asn.flightsafety.org/database/type/bc93,Budd C-93 Conestoga, 1943, 2 Piston engines
https://asn.flightsafety.org/database/type/argt,Canadair Argonaut / North Star, 1946, 4 Piston engines
https://asn.flightsafety.org/database/type/CL2P,Canadair CL-215, 1967, 2 Piston engines
https://asn.flightsafety.org/database/type/CL2T,Canadair CL-415, 1993, 2 Turboprop engines
https://asn.flightsafety.org/database/type/CL44,Canadair CL-44, 1959, 4 Turboprop engines
https://asn.flightsafety.org/database/type/CL60,Canadair CL-600 Challenger, 1978, 2 Jet engines
https://asn.flightsafety.org/database/type/args,Canadair CP-107 Argus, 1957, 4 Piston engines
https://asn.flightsafety.org/database/type/CRJ1,Canadair Regional Jet CRJ-100, 1991, 2 Jet engines
https://asn.flightsafety.org/database/type/CRJ2,Canadair Regional Jet CRJ-200, 1995, 2 Jet engines
https://asn.flightsafety.org/database/type/_CRJ,Bombardier CRJ family, , 2 Jet engines
https://asn.flightsafety.org/database/type/ca60,Caproni Ca.60 Noviplano, 1921, 8 Piston engines
https://asn.flightsafety.org/database/type/C295,CASA C-295, 1997, 2 Turboprop engines
